id,date,price,coin,version,lag_1,lag_2,lag_3,lag_7,lag_14,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_min_7,price_diff,pct_change_1,pct_change_7,day_of_week,day_of_month,month,is_weekend,exp_moving_avg_10,volatility_10,target
153,2024-11-30,97453.25,bitcoin,1,95661.6,95981.18,91931.83,98927.49,90947.98,96365.34333333334,955.6089841742269,95675.42285714285,2376.824957701787,98015.94,91931.83,1791.6499999999942,0.01872904070180703,-0.014902227884281749,5,30,11,1,94851.32591563114,2414.9362308367968,96513.14
154,2024-12-01,96513.14,bitcoin,1,97453.25,95661.6,95981.18,97679.46,90606.45,96542.66333333333,896.1897963235747,95508.80571428571,2250.446530237688,98015.94,91931.83,-940.1100000000006,-0.009646779353177037,-0.011940278949126082,6,1,12,1,95153.47393097094,2319.2401049259884,97311.71
155,2024-12-02,97311.71,bitcoin,1,96513.14,97453.25,95661.6,98015.94,89841.47,97092.7,506.8784253656411,95408.20142857141,2132.3285586992833,97453.25,91931.83,798.570000000007,0.008274210123098369,-0.0071848517700283665,0,2,12,0,95545.88048897623,2225.4122765052894,95833.14
156,2024-12-03,95833.14,bitcoin,1,97311.71,96513.14,97453.25,93004.7,90534.62,96552.66333333333,740.0769430501833,95812.26428571428,1850.3079301453763,97453.25,91931.83,-1478.570000000007,-0.015194163169057529,0.030411796393085444,1,3,12,0,95598.10949098054,2016.7979525319647,96031.63
157,2024-12-04,96031.63,bitcoin,1,95833.14,97311.71,96513.14,91931.83,92251.65,96392.15999999999,802.5140010623966,96397.95,722.3795629240384,97453.25,95661.6,198.49000000000524,0.002071204178429431,0.04459608821014438,2,4,12,0,95676.93140171134,1923.9362435770438,98881.47
158,2024-12-05,98881.47,bitcoin,1,96031.63,95833.14,97311.71,95981.18,94217.02,96915.41333333333,1705.5449810645534,96812.27714285716,1149.166283726662,98881.47,95661.6,2849.8399999999965,0.029676055691234104,0.030217278012210302,3,5,12,0,96259.57478321837,2051.266873656216,97201.5
159,2024-12-06,97201.5,bitcoin,1,98881.47,96031.63,95833.14,95661.6,98509.12,97371.53333333333,1432.5084667234853,97032.26285714286,1033.777815419812,98881.47,95833.14,-1679.9700000000012,-0.016989735286095597,0.01609736822298591,4,6,12,0,96430.8339135423,1818.1727565710357,99973.85
160,2024-12-07,99973.85,bitcoin,1,97201.5,98881.47,96031.63,97453.25,98927.49,98685.60666666667,1396.5145773082552,97392.34857142858,1526.4475164614485,99973.85,95833.14,2772.350000000006,0.028521679192193616,0.025864709488908844,5,7,12,1,97075.01865653461,1415.0611560555026,99781.83
161,2024-12-08,99781.83,bitcoin,1,99973.85,97201.5,98881.47,96513.14,97679.46,98985.72666666668,1548.1655333440417,97859.30428571429,1702.4752780757121,99973.85,95833.14,-192.02000000000407,-0.001920702263641938,0.033867823593761504,6,8,12,1,97567.16617352831,1585.9552281597184,101235.37
162,2024-12-09,101235.37,bitcoin,1,99781.83,99973.85,97201.5,97311.71,98015.94,100330.35000000002,789.6289130984451,98419.82714285713,2093.210911754374,101235.37,95833.14,1453.5399999999936,0.014567181219266034,0.040320532852623714,0,9,12,0,98234.11232379588,1840.9448828334007,97353.95
163,2024-12-10,97353.95,bitcoin,1,101235.37,99781.83,99973.85,95833.14,93004.7,99457.04999999999,1960.986190772667,98637.08571428573,1844.0863242246426,101235.37,96031.63,-3881.4199999999983,-0.03834055231881894,0.015869353753826587,1,10,12,0,98074.08281037844,1844.6158582652965,96649.71
164,2024-12-11,96649.71,bitcoin,1,97353.95,101235.37,99781.83,96031.63,91931.83,98413.01000000001,2469.468661797746,98725.38285714286,1708.3429729675477,101235.37,96649.71,-704.2399999999907,-0.007233810235742766,0.006436212735324798,2,11,12,0,97815.10593576418,1832.7551335451321,101123.62
165,2024-12-12,101123.62,bitcoin,1,96649.71,97353.95,101235.37,98881.47,95981.18,98375.76000000001,2405.6266188045793,99045.68999999999,1937.3356195465478,101235.37,96649.71,4473.909999999989,0.04628994748147708,0.0226751281104538,3,12,12,0,98416.65394744342,2051.215043772687,100000.81
166,2024-12-13,100000.81,bitcoin,1,101123.62,96649.71,97353.95,97201.5,95661.6,99258.04666666668,2327.6040683575065,99445.59142857141,1775.358424228223,101235.37,96649.71,-1122.8099999999977,-0.011103340643857429,0.028799041167060224,4,13,12,0,98704.68232063552,1887.0656787847058,101352.23
167,2024-12-14,101352.23,bitcoin,1,100000.81,101123.62,96649.71,99973.85,97453.25,100825.55333333333,723.3372708732364,99642.50285714286,1914.6879622071544,101352.23,96649.71,1351.4199999999983,0.013514090535866607,0.013787405406513686,5,14,12,1,99186.0546259745,1758.1414288840122,101367.01
168,2024-12-15,101367.01,bitcoin,1,101352.23,100000.81,101123.62,99781.83,96513.14,100906.68333333333,784.5441250397175,99868.95714285714,2024.504959412959,101367.01,96649.71,14.779999999998836,0.00014582806910112822,0.015886459488666294,6,15,12,1,99582.59196670642,1856.6264740396732,104721.5
169,2024-12-16,104721.5,bitcoin,1,101367.01,101352.23,100000.81,101235.37,97311.71,102480.24666666666,1940.996391092536,100366.97571428573,2724.4465060495895,104721.5,96649.71,3354.4900000000052,0.03309252191615397,0.03443588935369135,0,16,12,0,100516.93888185068,2255.4993843922703,106074.11
170,2024-12-17,106074.11,bitcoin,1,104721.5,101367.01,101352.23,97353.95,95833.14,104054.20666666667,2423.459902089187,101612.71285714286,3086.6833112184554,106074.11,96649.71,1352.6100000000006,0.012916258838920447,0.08957171229313254,1,17,12,0,101527.3336306051,2879.333831249963,106034.91
171,2024-12-18,106034.91,bitcoin,1,106074.11,104721.5,101367.01,96649.71,96031.63,105610.17333333334,769.863221640032,102953.45571428571,2566.0271994517425,106074.11,100000.81,-39.19999999999709,-0.00036955294746288114,0.0971053094727341,2,18,12,0,102346.89297049507,3248.869611458822,100355.58
172,2024-12-19,100355.58,bitcoin,1,106034.91,106074.11,104721.5,101123.62,98881.47,104154.86666666665,3290.337147107284,102843.73571428572,2671.558960193991,106074.11,100000.81,-5679.330000000002,-0.05356094516419174,-0.0075950603825297724,3,19,12,0,101984.83606676868,3271.413849803839,97851.35
173,2024-12-20,97851.35,bitcoin,1,100355.58,106034.91,106074.11,100000.81,97201.5,101413.94666666667,4193.181199189269,102536.67000000001,3135.948200565632,106074.11,97851.35,-2504.229999999996,-0.024953570095454514,-0.02149442589515016,4,20,12,0,101233.29314553802,3204.4099321229746,97691.43
174,2024-12-21,97691.43,bitcoin,1,97851.35,100355.58,106034.91,101352.23,99973.85,98632.78666666667,1494.1239083940234,102013.69857142855,3632.35427416045,106074.11,97691.43,-159.9200000000128,-0.0016343157248215334,-0.03611958020065276,5,21,12,1,100589.31802816747,3040.010346788595,97202.82
175,2024-12-22,97202.82,bitcoin,1,97691.43,97851.35,100355.58,101367.01,99781.83,97581.86666666665,337.86222522607744,101418.81428571428,4070.485654172713,106074.11,97202.82,-488.60999999998603,-0.005001564620356058,-0.041080327810793515,6,22,12,1,99973.5911139552,3353.1895888547588,95094.27
176,2024-12-23,95094.27,bitcoin,1,97202.82,97691.43,97851.35,104721.5,101235.37,96662.84000000001,1380.2151342096818,100043.49571428572,4383.011522708135,106074.11,95094.27,-2108.550000000003,-0.0216922718908773,-0.09193174276533467,0,23,12,0,99086.4418205088,3876.8394911014775,94644.91
177,2024-12-24,94644.91,bitcoin,1,95094.27,97202.82,97691.43,106074.11,97353.95,95647.33333333333,1365.6995204051543,98410.75285714286,3859.624645776743,106034.91,94644.91,-449.3600000000006,-0.00472541615809241,-0.10774730987608572,1,24,12,0,98278.89058041628,4320.603470224912,98695.71
178,2024-12-25,98695.71,bitcoin,1,94644.91,95094.27,97202.82,106034.91,96649.71,96144.96333333333,2220.408187819272,97362.29571428572,1984.8932049000741,100355.58,94644.91,4050.800000000003,0.042799977304643244,-0.06921494062662947,2,25,12,0,98354.6759294315,4316.401586824583,99344.95
179,2024-12-26,99344.95,bitcoin,1,98695.71,94644.91,95094.27,100355.58,101123.62,97561.85666666667,2546.921972996971,97217.92,1754.2359677163963,99344.95,94644.91,649.2399999999907,0.0065781987889848015,-0.010070491346868882,3,26,12,0,98534.72576044395,3960.5173775913304,95678.31
180,2024-12-27,95678.31,bitcoin,1,99344.95,98695.71,94644.91,97851.35,100000.81,97906.32333333335,1956.6324909228022,96907.48571428572,1814.6919963431062,99344.95,94644.91,-3666.6399999999994,-0.03690816694759014,-0.022207562798060576,4,27,12,0,98015.37744036323,3292.607528830919,94331.95
181,2024-12-28,94331.95,bitcoin,1,95678.31,99344.95,98695.71,97691.43,101352.23,96451.73666666665,2594.452515760276,96427.55999999998,2006.8697426331385,99344.95,94331.95,-1346.3600000000006,-0.014071736844014082,-0.0343886869093839,5,28,12,1,97345.66336029719,2077.453603133377,95184.62
182,2024-12-29,95184.62,bitcoin,1,94331.95,95678.31,99344.95,97202.82,101367.01,95064.96,681.1095353183325,96139.24571428572,2021.8453974834242,99344.95,94331.95,852.6699999999983,0.00903903714489096,-0.020762772108875116,6,29,12,1,96952.74638569768,1798.946623263082,93663.45
183,2024-12-30,93663.45,bitcoin,1,95184.62,94331.95,95678.31,95094.27,104721.5,94393.33999999998,762.4408772498775,95934.84285714287,2208.780936297991,99344.95,93663.45,-1521.1699999999983,-0.01598125831673225,-0.015046332444636379,0,30,12,0,96354.69249738901,1949.222769457583,92627.28
184,2024-12-31,92627.28,bitcoin,1,93663.45,95184.62,94331.95,94644.91,106074.11,93825.11666666665,1286.312190813296,95646.60999999999,2515.511126516748,99344.95,92627.28,-1036.1699999999983,-0.011062693078249808,-0.021317892319830056,1,31,12,0,95676.98113422738,2152.4417355541245,93507.86
185,2025-01-01,93507.86,bitcoin,1,92627.28,93663.45,95184.62,98695.71,106034.91,93266.19666666666,558.7601831151837,94905.48857142856,2213.5639180238272,99344.95,92627.28,880.5800000000017,0.009506702561059788,-0.05256408814527003,2,1,1,0,95282.59547345876,2172.7054690070263,94384.18
186,2025-01-02,94384.18,bitcoin,1,93507.86,92627.28,93663.45,99344.95,100355.58,93506.43999999999,878.4508607779788,94196.80714285714,1036.543180923834,95678.31,92627.28,876.3199999999924,0.009371618599762543,-0.04993479789360211,3,2,1,0,95119.24720555716,2190.880748662698,96852.15
187,2025-01-03,96852.15,bitcoin,1,94384.18,93507.86,92627.28,95678.31,97851.35,94914.73,1734.1226536498377,94364.49857142857,1360.4951710229911,96852.15,92627.28,2467.970000000001,0.026148132028058102,0.012268611349845138,4,3,1,0,95434.32044091041,2238.7000599015137,98084.34
188,2025-01-04,98084.34,bitcoin,1,96852.15,94384.18,93507.86,94331.95,97691.43,96440.22333333333,1884.1599429015846,94900.55428571429,1954.9234172872216,98084.34,92627.28,1232.1900000000023,0.012722381485594347,0.0397785691910324,5,4,1,1,95916.1421789267,2145.943753888492,98256.74
189,2025-01-05,98256.74,bitcoin,1,98084.34,96852.15,94384.18,95184.62,97202.82,97731.07666666666,766.0381870604788,95339.42857142857,2336.855727712727,98256.74,92627.28,172.40000000000873,0.0017576710002842333,0.03227538230441018,6,5,1,1,96341.70541912185,1939.398183977796,98364.59
190,2025-01-06,98364.59,bitcoin,1,98256.74,98084.34,96852.15,93663.45,95094.27,98235.22333333333,141.35855416247705,96011.01999999999,2447.8160443334614,98364.59,92627.28,107.84999999999127,0.0010976346253701585,0.05019183043118747,0,6,1,0,96709.50261564515,2175.8502431878933,102229.39
191,2025-01-07,102229.39,bitcoin,1,98364.59,98256.74,98084.34,92627.28,94644.91,99616.90666666666,2263.1194800175535,97382.75,2886.6863078733195,102229.39,93507.86,3864.800000000003,0.0392905617763466,0.1036639529952732,1,7,1,0,97713.11850370966,2979.30138170357,96952.1
192,2025-01-08,96952.1,bitcoin,1,102229.39,98364.59,98256.74,93507.86,98695.71,99182.02666666667,2731.958905993079,97874.78428571428,2361.9818579091548,102229.39,94384.18,-5277.289999999994,-0.05162204332824438,0.03683369504980649,2,8,1,0,97574.75150303516,2957.105253756473,95016.71
193,2025-01-09,95016.71,bitcoin,1,96952.1,102229.39,98364.59,94384.18,99344.95,98066.06666666667,3733.1460588135137,97965.14571428571,2213.626881061633,102229.39,95016.71,-1935.3899999999994,-0.01996233191441954,0.006701652755790377,3,9,1,0,97109.65304793786,2841.9933262652735,92376.28
194,2025-01-10,92376.28,bitcoin,1,95016.71,96952.1,102229.39,96852.15,95678.31,94781.69666666667,2296.944844404166,97325.73571428572,3069.625609281779,102229.39,92376.28,-2640.4300000000076,-0.027789112041450514,-0.04621342943858242,4,10,1,0,96249.0397664946,2882.074156784142,94736.63
195,2025-01-11,94736.63,bitcoin,1,92376.28,95016.71,96952.1,98084.34,94331.95,94043.20666666667,1450.3773942098207,96847.49142857143,3190.1560318858224,102229.39,92376.28,2360.350000000006,0.025551472737373793,-0.03413093262390299,5,11,1,1,95974.05617258648,2759.0459655563945,94559.55
196,2025-01-12,94559.55,bitcoin,1,94736.63,92376.28,95016.71,98256.74,95184.62,93890.81999999999,1314.6151110882347,96319.32142857143,3223.8311227705567,102229.39,92376.28,-177.08000000000175,-0.001869181962668498,-0.03762785128022772,6,12,1,1,95716.8732321162,2743.0227172621717,94454.77
197,2025-01-13,94454.77,bitcoin,1,94559.55,94736.63,92376.28,98364.59,93663.45,94583.65000000001,142.46709234605413,95760.77571428572,3148.23066564776,102229.39,92376.28,-104.77999999999884,-0.001108084799472886,-0.039748246803041565,0,13,1,0,95487.39991718598,2835.6103314647607,94456.35
198,2025-01-14,94456.35,bitcoin,1,94454.77,94559.55,94736.63,102229.39,92627.28,94490.22333333334,60.04385176576757,94650.34142857142,1335.1181902277924,96952.1,92376.28,1.5800000000017462,1.6727582947906328e-05,-0.07603527713507818,1,14,1,0,95299.93629587944,2842.903066465633,96574.08
199,2025-01-15,96574.08,bitcoin,1,94456.35,94454.77,94559.55,96952.1,93507.86,95161.73333333334,1223.1283474087538,94596.33857142858,1230.0072426116537,96574.08,92376.28,2117.729999999996,0.022420197265721198,-0.0038990388036979073,2,15,1,0,95531.59878753772,2752.0624583843646,100313.15
200,2025-01-16,100313.15,bitcoin,1,96574.08,94456.35,94454.77,95016.71,94384.18,97114.52666666666,2965.5671480569913,95352.97285714287,2502.507395157919,100313.15,92376.28,3739.0699999999924,0.0387171174708576,0.055742195241236914,3,16,1,0,96400.97173525814,2998.256204497638,100044.58
